Podcast_Name,Episode_Title,Episode_Length_minutes,Genre,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment,Listening_Time_minutes
Learning Lab,Episode 94,69.68,Education,47.42,Wednesday,Night,65.34,2,Negative,38.50705777
Study Sessions,Episode 15,,Education,67.55,Wednesday,Evening,99.11,2,Negative,3.80526309
Health Hour,Episode 7,40.16,Health,22.14,Wednesday,Evening,0.35,2,Positive,31.92656385
Melody Mix,Episode 12,,Music,85.3,Wednesday,Evening,75.63,1,Positive,33.71
Fashion Forward,Episode 72,26.28,Lifestyle,30.11,Wednesday,Afternoon,30.18,0,Positive,26.28
Business Briefs,Episode 64,102.65,Business,29.5,Wednesday,Afternoon,43.82,1,Negative,83.51862979
Digital Digest,Episode 74,95.32,Technology,27.85,Wednesday,Night,17.45,0,Positive,94.15801806
Study Sessions,Episode 45,100.11,Education,54.06,Wednesday,Night,81.29,2,Negative,96.61210149
Detective Diaries,Episode 14,68.5,True Crime,97.78,Wednesday,Afternoon,32.18,2,Neutral,65.50988331
Style Guide,Episode 84,6.51,Lifestyle,35.77,Wednesday,Evening,59.3,0,Negative,0.843513072
Game Day,Episode 74,10.8,Sports,73.95,Wednesday,Afternoon,6.6,0,Neutral,10.8
Sports Central,Episode 38,108.27,Sports,36.37,Wednesday,Evening,2.26,0,Negative,58.93052361
Music Matters,Episode 27,68.84,Music,55.53,Wednesday,Afternoon,13.79,1,Neutral,66.1274137
Game Day,Episode 88,50.07,Sports,53.69,Wednesday,Night,38.67,2,Neutral,22.52348132
Fashion Forward,Episode 90,99.94,Lifestyle,29.96,Wednesday,Night,75.93,0,Positive,55.27880901
Sports Central,Episode 80,35.76,Sports,39.46,Wednesday,Morning,,2,Neutral,21.944781
Fashion Forward,Episode 100,99.59,Lifestyle,72.43,Wednesday,Evening,44.88,1,Negative,86.74825435
Life Lessons,Episode 55,104.67,Lifestyle,97.6,Wednesday,Afternoon,94.73,1,Neutral,95.91231132
Melody Mix,Episode 61,59.32,Music,53.46,Wednesday,Night,22.13,0,Negative,
Learning Lab,Episode 50,,Education,96.19,Wednesday,Evening,16.45,2,Negative,0.0
Money Matters,Episode 20,23.1,Business,60.64,Wednesday,Evening,4.8,3,Positive,6.288109499
Lifestyle Lounge,Episode 8,63.86,Lifestyle,44.69,Wednesday,Afternoon,55.49,2,Positive,51.08840972
Style Guide,Episode 23,18.27,Lifestyle,84.63,Wednesday,Evening,79.92,3,Negative,18.27
Business Insights,Episode 30,82.36,Business,32.17,Wednesday,Afternoon,26.31,0,Negative,46.09250147
True Crime Stories,Episode 97,17.98,True Crime,49.01,Wednesday,Afternoon,13.42,2,Negative,9.480292885
Innovators,Episode 2,41.18,Technology,94.45,Wednesday,Afternoon,28.44,3,Negative,37.73275762
Crime Chronicles,Episode 59,14.12,True Crime,76.41,Wednesday,Night,65.65,0,Negative,5.84538528
Comedy Corner,Episode 21,77.36,Comedy,57.59,Wednesday,Night,50.23,3,Neutral,41.78096621
Laugh Line,Episode 1,115.55,Comedy,37.04,Wednesday,Night,45.73,2,Neutral,80.83521018
Tech Trends,Episode 100,17.61,Technology,79.79,Wednesday,Night,81.83,0,Positive,13.74773872
Mind & Body,Episode 62,88.51,Health,40.91,Wednesday,Evening,,3,Negative,66.23475526
Business Briefs,Episode 65,71.76,Business,25.09,Wednesday,Afternoon,74.88,0,Negative,70.69657226
Innovators,Episode 69,45.27,Technology,85.74,Wednesday,Morning,81.28,1,Negative,31.07399621
Crime Chronicles,Episode 4,95.55,True Crime,84.44,Wednesday,Morning,62.18,0,Negative,90.43297106
Lifestyle Lounge,Episode 24,99.86,Lifestyle,70.76,Wednesday,Morning,5.33,3,Positive,56.38223157
Funny Folks,Episode 81,60.67,Comedy,47.92,Wednesday,Afternoon,,3,Positive,48.3541759
Healthy Living,Episode 54,29.02,Health,63.58,Wednesday,Evening,19.31,3,Neutral,21.42414916
Market Masters,Episode 29,,Business,44.91,Wednesday,Afternoon,59.45,2,Positive,
True Crime Stories,Episode 48,9.52,True Crime,91.18,Wednesday,Morning,,2,Negative,1.375745636
Comedy Corner,Episode 87,16.64,Comedy,51.98,Wednesday,Night,22.46,1,Positive,16.64
Style Guide,Episode 33,74.32,Lifestyle,46.04,Wednesday,Night,68.08,2,Neutral,52.28604722
Health Hour,Episode 86,82.99,Health,41.55,Wednesday,Afternoon,33.87,1,Negative,
Fashion Forward,Episode 37,22.21,Lifestyle,32.8,Wednesday,Morning,32.76,3,Neutral,10.95466937
Educational Nuggets,Episode 37,91.51,Education,79.32,Wednesday,Evening,96.62,3,Positive,74.43832252
Detective Diaries,Episode 29,61.65,True Crime,79.16,Wednesday,Evening,13.04,0,Negative,55.55988409
News Roundup,Episode 8,,News,32.33,Wednesday,Afternoon,45.43,3,Negative,24.34419537
Lifestyle Lounge,Episode 12,,Lifestyle,79.72,Wednesday,Evening,,2,Neutral,63.44597787
Comedy Corner,Episode 35,55.51,Comedy,78.66,Wednesday,Afternoon,66.29,2,Neutral,52.66895304
Melody Mix,Episode 4,38.47,Music,79.08,Wednesday,Night,0.05,0,Positive,
Sports Weekly,Episode 55,57.97,Sports,57.17,Wednesday,Morning,20.14,1,Negative,21.80913573
Money Matters,Episode 36,103.23,Business,47.83,Wednesday,Night,40.98,2,Negative,
Fashion Forward,Episode 52,23.91,Lifestyle,48.13,Wednesday,Night,60.11,3,Neutral,14.82498772
Tech Trends,Episode 95,21.03,Technology,71.83,Wednesday,Morning,48.13,0,Negative,21.03
Humor Hub,Episode 98,,Comedy,88.27,Wednesday,Morning,48.15,0,Neutral,75.29411427
Mind & Body,Episode 9,34.68,Health,62.6,Wednesday,Morning,8.83,0,Positive,34.68
Melody Mix,Episode 10,108.24,Music,47.8,Wednesday,Morning,64.93,3,Neutral,71.32969027
Wellness Wave,Episode 56,104.32,Health,87.57,Wednesday,Morning,30.83,3,Negative,67.83373429
Home & Living,Episode 99,81.33,Lifestyle,99.16,Wednesday,Night,70.88,1,Negative,
Joke Junction,Episode 67,70.78,Comedy,82.51,Wednesday,Morning,9.08,0,Positive,70.78
Mystery Matters,Episode 56,59.41,True Crime,21.3,Wednesday,Afternoon,97.49,3,Positive,
Athlete's Arena,Episode 94,,Sports,38.85,Wednesday,Morning,68.68,3,Negative,32.33516186
Game Day,Episode 3,87.84,Sports,80.42,Wednesday,Afternoon,2.91,0,Positive,87.84
Sports Central,Episode 22,85.36,Sports,70.41,Wednesday,Afternoon,,2,Positive,36.65625657
Current Affairs,Episode 55,,News,50.84,Wednesday,Morning,24.07,0,Neutral,
Detective Diaries,Episode 11,43.47,True Crime,33.8,Wednesday,Afternoon,13.8,1,Neutral,18.10398972
Study Sessions,Episode 71,36.22,Education,31.52,Wednesday,Morning,41.21,1,Positive,15.45394587
Game Day,Episode 54,95.46,Sports,71.01,Wednesday,Morning,20.36,1,Neutral,89.61624912
Gadget Geek,Episode 9,52.23,Technology,90.2,Wednesday,Night,97.25,3,Neutral,36.88248796
Tune Time,Episode 51,8.62,Music,35.79,Wednesday,Afternoon,85.37,3,Neutral,8.62
Daily Digest,Episode 60,45.68,News,62.27,Wednesday,Evening,48.12,0,Neutral,
Sport Spot,Episode 43,43.08,Sports,82.93,Wednesday,Night,,3,Positive,34.13343308
Brain Boost,Episode 29,32.06,Education,96.31,Wednesday,Evening,44.23,2,Neutral,26.50840407
Fitness First,Episode 55,13.12,Health,67.29,Wednesday,Morning,,1,Negative,12.60618832
Crime Chronicles,Episode 65,73.63,True Crime,34.22,Wednesday,Night,89.43,0,Negative,46.72370466
Money Matters,Episode 92,11.77,Business,70.21,Wednesday,Night,1.82,2,Negative,3.902209495
Style Guide,Episode 78,15.04,Lifestyle,56.84,Wednesday,Night,48.48,2,Neutral,15.04
Learning Lab,Episode 22,48.22,Education,73.16,Wednesday,Afternoon,50.37,3,Positive,41.8247864
Sports Central,Episode 91,67.68,Sports,87.12,Wednesday,Morning,35.22,1,Positive,
Criminal Minds,Episode 37,90.42,True Crime,49.7,Wednesday,Afternoon,87.87,3,Positive,53.61698142
Lifestyle Lounge,Episode 85,94.84,Lifestyle,56.66,Wednesday,Afternoon,56.53,0,Positive,50.74082916
Business Insights,Episode 79,83.45,Business,62.0,Wednesday,Afternoon,65.85,2,Negative,58.28894007
Market Masters,Episode 66,34.93,Business,23.62,Wednesday,Evening,49.86,2,Neutral,
Joke Junction,Episode 44,56.45,Comedy,76.96,Wednesday,Morning,18.17,1,Negative,37.00547664
Laugh Line,Episode 17,48.73,Comedy,86.37,Wednesday,Morning,92.88,1,Negative,
Sport Spot,Episode 91,111.18,Sports,58.56,Wednesday,Morning,,3,Neutral,79.67749016
Innovators,Episode 55,106.9,Technology,38.37,Wednesday,Night,36.21,2,Neutral,
Healthy Living,Episode 98,73.76,Health,37.83,Wednesday,Night,71.44,3,Positive,42.70410263
Mind & Body,Episode 42,78.37,Health,52.93,Wednesday,Evening,45.98,1,Positive,55.92304861
Finance Focus,Episode 82,57.17,Business,94.6,Wednesday,Night,8.6,1,Negative,57.17
Sports Weekly,Episode 21,78.06,Sports,25.78,Wednesday,Night,,1,Negative,70.23920862
Home & Living,Episode 34,114.66,Lifestyle,25.94,Wednesday,Evening,10.39,3,Negative,88.95071325
Sport Spot,Episode 70,,Sports,81.55,Wednesday,Afternoon,18.68,1,Negative,46.85481352
Sound Waves,Episode 19,74.15,Music,63.52,Wednesday,Evening,,2,Positive,44.91718406
Money Matters,Episode 20,67.42,Business,21.27,Wednesday,Night,26.6,0,Neutral,67.42
Gadget Geek,Episode 57,,Technology,59.29,Wednesday,Night,89.06,0,Positive,32.02186807
Business Insights,Episode 64,91.05,Business,54.94,Wednesday,Morning,8.77,3,Negative,57.13459322
Global News,Episode 55,26.01,News,95.48,Wednesday,Evening,93.69,3,Neutral,25.63048937
Healthy Living,Episode 18,21.41,Health,88.46,Wednesday,Evening,75.46,3,Positive,16.7661716
Brain Boost,Episode 31,115.66,Education,29.36,Wednesday,Afternoon,58.69,2,Negative,45.60331588
Joke Junction,Episode 36,45.59,Comedy,34.58,Wednesday,Night,61.68,3,Neutral,26.18166886
Criminal Minds,Episode 84,112.6,True Crime,71.75,Wednesday,Night,97.76,0,Positive,62.62376198
Learning Lab,Episode 43,12.63,Education,81.85,Wednesday,Evening,,0,Negative,11.42557121
Business Insights,Episode 45,9.31,Business,23.24,Wednesday,Evening,,2,Positive,9.31
Crime Chronicles,Episode 31,66.52,True Crime,49.76,Wednesday,Night,23.73,1,Positive,66.52
Home & Living,Episode 63,115.38,Lifestyle,61.23,Wednesday,Evening,25.43,3,Positive,91.53548492
Fitness First,Episode 58,26.09,Health,20.05,Wednesday,Afternoon,64.21,0,Negative,13.86928005
Study Sessions,Episode 60,96.84,Education,81.58,Wednesday,Afternoon,35.06,3,Negative,70.56709797
Style Guide,Episode 58,20.67,Lifestyle,65.71,Wednesday,Morning,89.55,1,Neutral,20.67
Tune Time,Episode 46,22.61,Music,66.25,Wednesday,Night,,0,Positive,9.940693347
True Crime Stories,Episode 87,114.17,True Crime,48.99,Wednesday,Afternoon,26.06,0,Neutral,61.07905465
Style Guide,Episode 96,47.64,Lifestyle,21.94,Wednesday,Afternoon,24.17,3,Negative,
Lifestyle Lounge,Episode 86,32.75,Lifestyle,33.25,Wednesday,Evening,,3,Neutral,7.259838735
Style Guide,Episode 63,22.23,Lifestyle,21.82,Wednesday,Night,53.89,2,Positive,7.089885777
Gadget Geek,Episode 60,,Technology,50.85,Wednesday,Night,13.28,2,Neutral,18.87178298
Mystery Matters,Episode 12,88.65,True Crime,58.35,Wednesday,Evening,55.5,0,Neutral,88.65
Fashion Forward,Episode 69,61.81,Lifestyle,66.28,Wednesday,Evening,74.55,1,Neutral,52.82682432
Criminal Minds,Episode 1,15.3,True Crime,78.9,Wednesday,Afternoon,25.69,3,Neutral,
News Roundup,Episode 7,106.55,News,93.22,Wednesday,Morning,52.46,0,Positive,100.6126187
Mystery Matters,Episode 91,8.67,True Crime,87.73,Wednesday,Morning,97.37,1,Negative,8.67
Sound Waves,Episode 3,40.32,Music,91.65,Wednesday,Afternoon,,3,Neutral,12.8079562
Health Hour,Episode 44,40.96,Health,21.74,Wednesday,Evening,57.69,0,Negative,36.18411329
Comedy Corner,Episode 23,69.2,Comedy,62.79,Wednesday,Evening,37.13,3,Negative,39.22486354
Home & Living,Episode 42,33.25,Lifestyle,81.24,Wednesday,Evening,10.44,2,Negative,33.25
Laugh Line,Episode 87,12.7,Comedy,94.66,Wednesday,Evening,66.67,0,Positive,4.047441778
Funny Folks,Episode 3,35.5,Comedy,39.93,Wednesday,Morning,11.21,2,Positive,34.1579004
Laugh Line,Episode 88,34.09,Comedy,25.59,Wednesday,Night,90.83,2,Positive,33.81162726
Daily Digest,Episode 59,102.42,News,58.85,Wednesday,Afternoon,19.69,3,Negative,53.66656046
Athlete's Arena,Episode 69,60.31,Sports,25.22,Wednesday,Morning,15.12,2,Negative,33.349814
Tech Trends,Episode 68,31.11,Technology,90.5,Wednesday,Afternoon,58.65,1,Positive,27.3761565
Market Masters,Episode 3,82.99,Business,93.13,Wednesday,Evening,,3,Negative,78.43171765
Game Day,Episode 44,75.59,Sports,72.37,Wednesday,Evening,65.4,2,Neutral,45.0327277
Crime Chronicles,Episode 36,78.06,True Crime,43.55,Wednesday,Evening,39.15,1,Neutral,36.18690559
Daily Digest,Episode 15,100.02,News,30.27,Wednesday,Evening,22.05,0,Negative,
True Crime Stories,Episode 24,28.92,True Crime,52.89,Wednesday,Morning,76.48,1,Negative,12.22685922
Sports Central,Episode 8,49.85,Sports,33.58,Wednesday,Evening,59.91,2,Positive,29.20885154
Tune Time,Episode 21,75.39,Music,30.0,Wednesday,Morning,,3,Positive,56.35853385
Sport Spot,Episode 28,33.32,Sports,43.79,Wednesday,Afternoon,39.07,0,Neutral,33.32
Home & Living,Episode 19,19.74,Lifestyle,77.72,Wednesday,Night,5.96,0,Neutral,
Home & Living,Episode 75,73.46,Lifestyle,72.0,Wednesday,Night,37.26,3,Neutral,47.63647083
Global News,Episode 67,69.32,News,45.65,Wednesday,Afternoon,78.61,1,Positive,69.32
Health Hour,Episode 4,,Health,41.57,Wednesday,Evening,69.27,2,Negative,8.8
Style Guide,Episode 2,70.87,Lifestyle,52.21,Wednesday,Evening,30.76,3,Neutral,44.25032445
Healthy Living,Episode 27,34.36,Health,69.34,Wednesday,Morning,39.89,1,Positive,34.36
Music Matters,Episode 61,54.32,Music,48.82,Wednesday,Evening,20.73,3,Positive,22.71446598
Health Hour,Episode 93,116.54,Health,23.01,Wednesday,Night,61.49,0,Positive,109.3963435
Sports Weekly,Episode 92,70.73,Sports,25.67,Wednesday,Night,24.44,3,Negative,38.66522042
Brain Boost,Episode 95,65.39,Education,75.58,Wednesday,Evening,95.04,0,Positive,62.63662899
Sport Spot,Episode 41,94.31,Sports,26.48,Wednesday,Morning,86.42,0,Negative,82.04363781
World Watch,Episode 95,51.07,News,35.5,Wednesday,Morning,97.3,3,Negative,
Health Hour,Episode 13,18.9,Health,21.76,Wednesday,Afternoon,8.74,1,Negative,15.23548565
Wellness Wave,Episode 33,,Health,42.53,Wednesday,Morning,57.08,0,Positive,72.03
Learning Lab,Episode 84,16.88,Education,86.41,Wednesday,Morning,98.34,1,Neutral,14.66293628
Tech Talks,Episode 11,51.59,Technology,49.24,Wednesday,Evening,32.69,1,Positive,50.98725515
Business Briefs,Episode 60,9.05,Business,95.89,Wednesday,Afternoon,,3,Neutral,
Tech Talks,Episode 79,62.63,Technology,79.33,Wednesday,Morning,39.1,2,Positive,58.66343066
Laugh Line,Episode 46,69.59,Comedy,95.03,Wednesday,Evening,76.86,3,Neutral,44.32945885
Game Day,Episode 12,,Sports,37.8,Wednesday,Evening,16.19,3,Negative,38.35939703
Business Briefs,Episode 4,24.75,Business,53.23,Wednesday,Evening,14.93,1,Positive,19.7688444
Game Day,Episode 47,32.6,Sports,23.0,Wednesday,Night,,1,Negative,
Sports Central,Episode 96,105.05,Sports,87.3,Wednesday,Evening,70.39,3,Neutral,54.89743316
Money Matters,Episode 45,83.84,Business,65.65,Wednesday,Afternoon,88.78,0,Positive,77.52133645
Lifestyle Lounge,Episode 98,65.55,Lifestyle,66.85,Wednesday,Afternoon,,3,Neutral,29.467748
Global News,Episode 52,110.78,News,65.03,Wednesday,Evening,41.32,0,Negative,72.26745669
Innovators,Episode 51,,Technology,35.75,Wednesday,Night,28.81,2,Neutral,31.27360686
News Roundup,Episode 39,93.98,News,74.42,Wednesday,Afternoon,30.38,1,Negative,55.04934033
Humor Hub,Episode 12,51.78,Comedy,45.82,Wednesday,Evening,71.1,2,Positive,19.7531736
Study Sessions,Episode 68,79.15,Education,71.02,Wednesday,Evening,50.64,1,Negative,72.48214055
Life Lessons,Episode 63,63.73,Lifestyle,41.05,Wednesday,Night,8.81,0,Negative,57.62058167
Wellness Wave,Episode 71,98.71,Health,85.28,Wednesday,Morning,35.91,1,Positive,77.72062579
Tech Trends,Episode 58,85.36,Technology,27.75,Wednesday,Afternoon,45.37,3,Neutral,75.85893442
Tech Trends,Episode 23,10.59,Technology,30.22,Wednesday,Evening,42.12,2,Neutral,10.59
Money Matters,Episode 48,16.71,Business,49.72,Wednesday,Night,78.9,3,Negative,1.432093554
Market Masters,Episode 20,88.6,Business,24.9,Wednesday,Morning,32.35,2,Positive,47.19661802
Comedy Corner,Episode 39,41.45,Comedy,36.83,Wednesday,Night,47.26,1,Negative,27.37206442
Joke Junction,Episode 56,41.98,Comedy,43.42,Wednesday,Morning,79.68,3,Neutral,21.80258251
Learning Lab,Episode 73,113.47,Education,54.35,Wednesday,Morning,,2,Negative,46.2030556
Home & Living,Episode 25,48.65,Lifestyle,82.49,Wednesday,Afternoon,56.27,0,Neutral,48.65
Fitness First,Episode 51,14.03,Health,59.45,Wednesday,Morning,68.36,1,Neutral,3.846993854
Funny Folks,Episode 12,89.67,Comedy,93.88,Wednesday,Afternoon,42.82,0,Negative,52.81090759
Sports Weekly,Episode 85,67.84,Sports,94.61,Wednesday,Morning,78.13,2,Neutral,67.84
